,set_size,trial_num,method_num,space
0,100,0,0,3200
1,100,0,1,2800
2,100,0,2,1700
3,100.0,0.0,3.0,1682.625
4,100.0,0.0,4.0,2598.25
5,100.0,0.0,5.0,2573.8359375
6,100,1,0,3200
7,100,1,1,2800
8,100,1,2,2000
9,100.0,1.0,3.0,1707.75
10,100.0,1.0,4.0,2626.5
11,100.0,1.0,5.0,2597.203125
12,1000,0,0,32000
13,1000,0,1,28000
14,1000,0,2,20000
15,1000.0,0.0,3.0,16598.25
16,1000.0,0.0,4.0,25736.5
17,1000.0,0.0,5.0,25521.65625
18,1000,1,0,32000
19,1000,1,1,28000
20,1000,1,2,19000
21,1000.0,1.0,3.0,16720.25
22,1000.0,1.0,4.0,25876.5
23,1000.0,1.0,5.0,25661.65625
24,10000,0,0,320000
25,10000,0,1,280000
26,10000,0,2,210000
27,10000.0,0.0,3.0,166540.5
28,10000.0,0.0,4.0,258022.0
29,10000.0,0.0,5.0,256264.1875
30,10000,1,0,320000
31,10000,1,1,280000
32,10000,1,2,190000
33,10000.0,1.0,3.0,166586.5
34,10000.0,1.0,4.0,258032.0
35,10000.0,1.0,5.0,256274.1875
