,set_size,trial_num,method_num,space
0,100,0,0,3200
1,100,0,1,2800
2,100,0,2,1800
3,100.0,0.0,3.0,1695.75
4,100.0,0.0,4.0,2614.5
5,100.0,0.0,5.0,2585.203125
6,100,1,0,3200
7,100,1,1,2800
8,100,1,2,1700
9,100.0,1.0,3.0,1714.625
10,100.0,1.0,4.0,2630.25
11,100.0,1.0,5.0,2605.8359375
12,100,2,0,3200
13,100,2,1,2800
14,100,2,2,1800
15,100.0,2.0,3.0,1663.75
16,100.0,2.0,4.0,2582.5
17,100.0,2.0,5.0,2553.203125
18,100,3,0,3200
19,100,3,1,2800
20,100,3,2,1700
21,100.0,3.0,3.0,1673.625
22,100.0,3.0,4.0,2589.25
23,100.0,3.0,5.0,2564.8359375
24,100,4,0,3200
25,100,4,1,2800
26,100,4,2,1500
27,100.0,4.0,3.0,1641.375
28,100.0,4.0,4.0,2550.75
29,100.0,4.0,5.0,2536.1015625
30,100,5,0,3200
31,100,5,1,2800
32,100,5,2,1700
33,100.0,5.0,3.0,1699.625
34,100.0,5.0,4.0,2615.25
35,100.0,5.0,5.0,2590.8359375
36,100,6,0,3200
37,100,6,1,2800
38,100,6,2,1700
39,100.0,6.0,3.0,1740.625
40,100.0,6.0,4.0,2656.25
41,100.0,6.0,5.0,2631.8359375
42,100,7,0,3200
43,100,7,1,2800
44,100,7,2,1900
45,100.0,7.0,3.0,1631.75
46,100.0,7.0,4.0,2550.5
47,100.0,7.0,5.0,2521.203125
48,100,8,0,3200
49,100,8,1,2800
50,100,8,2,1400
51,100.0,8.0,3.0,1608.25
52,100.0,8.0,4.0,2514.5
53,100.0,8.0,5.0,2504.734375
54,100,9,0,3200
55,100,9,1,2800
56,100,9,2,1700
57,100.0,9.0,3.0,1682.5
58,100.0,9.0,4.0,2595.0
59,100.0,9.0,5.0,2575.46875
60,100,10,0,3200
61,100,10,1,2800
62,100,10,2,1500
63,100.0,10.0,3.0,1674.5
64,100.0,10.0,4.0,2587.0
65,100.0,10.0,5.0,2567.46875
66,100,11,0,3200
67,100,11,1,2800
68,100,11,2,1600
69,100.0,11.0,3.0,1685.375
70,100.0,11.0,4.0,2594.75
71,100.0,11.0,5.0,2580.1015625
72,100,12,0,3200
73,100,12,1,2800
74,100,12,2,1800
75,100.0,12.0,3.0,1645.625
76,100.0,12.0,4.0,2561.25
77,100.0,12.0,5.0,2536.8359375
78,100,13,0,3200
79,100,13,1,2800
80,100,13,2,1800
81,100.0,13.0,3.0,1690.75
82,100.0,13.0,4.0,2609.5
83,100.0,13.0,5.0,2580.203125
84,100,14,0,3200
85,100,14,1,2800
86,100,14,2,2100
87,100.0,14.0,3.0,1713.875
88,100.0,14.0,4.0,2635.75
89,100.0,14.0,5.0,2601.5703125
90,100,15,0,3200
91,100,15,1,2800
92,100,15,2,1500
93,100.0,15.0,3.0,1661.375
94,100.0,15.0,4.0,2570.75
95,100.0,15.0,5.0,2556.1015625
96,100,16,0,3200
97,100,16,1,2800
98,100,16,2,1700
99,100.0,16.0,3.0,1673.625
100,100.0,16.0,4.0,2589.25
101,100.0,16.0,5.0,2564.8359375
102,100,17,0,3200
103,100,17,1,2800
104,100,17,2,1700
105,100.0,17.0,3.0,1645.5
106,100.0,17.0,4.0,2558.0
107,100.0,17.0,5.0,2538.46875
108,100,18,0,3200
109,100,18,1,2800
110,100,18,2,1700
111,100.0,18.0,3.0,1632.5
112,100.0,18.0,4.0,2545.0
113,100.0,18.0,5.0,2525.46875
114,100,19,0,3200
115,100,19,1,2800
116,100,19,2,1500
117,100.0,19.0,3.0,1642.375
118,100.0,19.0,4.0,2542.75
119,100.0,19.0,5.0,2528.1015625
120,100,20,0,3200
121,100,20,1,2800
122,100,20,2,1600
123,100.0,20.0,3.0,1603.375
124,100.0,20.0,4.0,2512.75
125,100.0,20.0,5.0,2498.1015625
126,100,21,0,3200
127,100,21,1,2800
128,100,21,2,1700
129,100.0,21.0,3.0,1695.625
130,100.0,21.0,4.0,2611.25
131,100.0,21.0,5.0,2586.8359375
132,100,22,0,3200
133,100,22,1,2800
134,100,22,2,1900
135,100.0,22.0,3.0,1648.625
136,100.0,22.0,4.0,2564.25
137,100.0,22.0,5.0,2539.8359375
138,100,23,0,3200
139,100,23,1,2800
140,100,23,2,1800
141,100.0,23.0,3.0,1692.625
142,100.0,23.0,4.0,2608.25
143,100.0,23.0,5.0,2583.8359375
144,100,24,0,3200
145,100,24,1,2800
146,100,24,2,2000
147,100.0,24.0,3.0,1703.875
148,100.0,24.0,4.0,2625.75
149,100.0,24.0,5.0,2591.5703125
150,100,25,0,3200
151,100,25,1,2800
152,100,25,2,1800
153,100.0,25.0,3.0,1692.625
154,100.0,25.0,4.0,2608.25
155,100.0,25.0,5.0,2583.8359375
156,100,26,0,3200
157,100,26,1,2800
158,100,26,2,1500
159,100.0,26.0,3.0,1634.375
160,100.0,26.0,4.0,2543.75
161,100.0,26.0,5.0,2529.1015625
162,100,27,0,3200
163,100,27,1,2800
164,100,27,2,1800
165,100.0,27.0,3.0,1722.75
166,100.0,27.0,4.0,2641.5
167,100.0,27.0,5.0,2612.203125
168,100,28,0,3200
169,100,28,1,2800
170,100,28,2,1800
171,100.0,28.0,3.0,1669.625
172,100.0,28.0,4.0,2585.25
173,100.0,28.0,5.0,2560.8359375
174,100,29,0,3200
175,100,29,1,2800
176,100,29,2,1700
177,100.0,29.0,3.0,1671.625
178,100.0,29.0,4.0,2587.25
179,100.0,29.0,5.0,2562.8359375
180,100,30,0,3200
181,100,30,1,2800
182,100,30,2,1700
183,100.0,30.0,3.0,1653.5
184,100.0,30.0,4.0,2566.0
185,100.0,30.0,5.0,2546.46875
186,100,31,0,3200
187,100,31,1,2800
188,100,31,2,1700
189,100.0,31.0,3.0,1672.625
190,100.0,31.0,4.0,2588.25
191,100.0,31.0,5.0,2563.8359375
192,100,32,0,3200
193,100,32,1,2800
194,100,32,2,1600
195,100.0,32.0,3.0,1648.375
196,100.0,32.0,4.0,2557.75
197,100.0,32.0,5.0,2543.1015625
198,100,33,0,3200
199,100,33,1,2800
200,100,33,2,1600
201,100.0,33.0,3.0,1657.625
202,100.0,33.0,4.0,2573.25
203,100.0,33.0,5.0,2548.8359375
204,100,34,0,3200
205,100,34,1,2800
206,100,34,2,1500
207,100.0,34.0,3.0,1628.375
208,100.0,34.0,4.0,2537.75
209,100.0,34.0,5.0,2523.1015625
210,100,35,0,3200
211,100,35,1,2800
212,100,35,2,1400
213,100.0,35.0,3.0,1616.25
214,100.0,35.0,4.0,2522.5
215,100.0,35.0,5.0,2512.734375
216,100,36,0,3200
217,100,36,1,2800
218,100,36,2,1500
219,100.0,36.0,3.0,1646.375
