,trial_num,method_num,delim_size,space
0,0.0,0.0,0.0,19793.0
1,0.0,1.0,0.0,35793.0
2,0.0,2.0,0.0,12793.0
3,1.0,0.0,0.0,19782.0
4,1.0,1.0,0.0,35782.0
5,1.0,2.0,0.0,12782.0
6,2.0,0.0,0.0,19750.0
7,2.0,1.0,0.0,35750.0
8,2.0,2.0,0.0,12750.0
9,3.0,0.0,0.0,19765.0
10,3.0,1.0,0.0,35765.0
11,3.0,2.0,0.0,12765.0
12,4.0,0.0,0.0,19863.0
13,4.0,1.0,0.0,35863.0
14,4.0,2.0,0.0,12863.0
15,5.0,0.0,0.0,19703.0
16,5.0,1.0,0.0,35703.0
17,5.0,2.0,0.0,12703.0
18,6.0,0.0,0.0,19855.0
19,6.0,1.0,0.0,35855.0
20,6.0,2.0,0.0,12855.0
21,7.0,0.0,0.0,19860.0
22,7.0,1.0,0.0,35860.0
23,7.0,2.0,0.0,12860.0
24,8.0,0.0,0.0,19733.0
25,8.0,1.0,0.0,35733.0
26,8.0,2.0,0.0,12733.0
27,9.0,0.0,0.0,19652.0
28,9.0,1.0,0.0,35652.0
29,9.0,2.0,0.0,12652.0
30,10.0,0.0,0.0,19881.0
31,10.0,1.0,0.0,35881.0
32,10.0,2.0,0.0,12881.0
33,11.0,0.0,0.0,19736.0
34,11.0,1.0,0.0,35736.0
35,11.0,2.0,0.0,12736.0
36,12.0,0.0,0.0,19744.0
37,12.0,1.0,0.0,35744.0
38,12.0,2.0,0.0,12744.0
39,13.0,0.0,0.0,19778.0
40,13.0,1.0,0.0,35778.0
41,13.0,2.0,0.0,12778.0
42,14.0,0.0,0.0,19791.0
43,14.0,1.0,0.0,35791.0
44,14.0,2.0,0.0,12791.0
45,15.0,0.0,0.0,19686.0
46,15.0,1.0,0.0,35686.0
47,15.0,2.0,0.0,12686.0
48,16.0,0.0,0.0,19799.0
49,16.0,1.0,0.0,35799.0
50,16.0,2.0,0.0,12799.0
51,17.0,0.0,0.0,19800.0
52,17.0,1.0,0.0,35800.0
53,17.0,2.0,0.0,12800.0
54,18.0,0.0,0.0,19706.0
55,18.0,1.0,0.0,35706.0
56,18.0,2.0,0.0,12706.0
57,19.0,0.0,0.0,19710.0
58,19.0,1.0,0.0,35710.0
59,19.0,2.0,0.0,12710.0
60,20.0,0.0,0.0,19657.0
61,20.0,1.0,0.0,35657.0
62,20.0,2.0,0.0,12657.0
63,21.0,0.0,0.0,19679.0
64,21.0,1.0,0.0,35679.0
65,21.0,2.0,0.0,12679.0
66,22.0,0.0,0.0,19725.0
67,22.0,1.0,0.0,35725.0
68,22.0,2.0,0.0,12725.0
69,23.0,0.0,0.0,19741.0
70,23.0,1.0,0.0,35741.0
71,23.0,2.0,0.0,12741.0
72,24.0,0.0,0.0,19697.0
73,24.0,1.0,0.0,35697.0
74,24.0,2.0,0.0,12697.0
75,25.0,0.0,0.0,19737.0
76,25.0,1.0,0.0,35737.0
77,25.0,2.0,0.0,12737.0
78,26.0,0.0,0.0,19671.0
79,26.0,1.0,0.0,35671.0
80,26.0,2.0,0.0,12671.0
81,27.0,0.0,0.0,19765.0
82,27.0,1.0,0.0,35765.0
83,27.0,2.0,0.0,12765.0
84,28.0,0.0,0.0,19838.0
85,28.0,1.0,0.0,35838.0
86,28.0,2.0,0.0,12838.0
87,29.0,0.0,0.0,19710.0
88,29.0,1.0,0.0,35710.0
89,29.0,2.0,0.0,12710.0
90,30.0,0.0,0.0,19718.0
91,30.0,1.0,0.0,35718.0
92,30.0,2.0,0.0,12718.0
93,31.0,0.0,0.0,19777.0
94,31.0,1.0,0.0,35777.0
95,31.0,2.0,0.0,12777.0
96,32.0,0.0,0.0,19648.0
97,32.0,1.0,0.0,35648.0
98,32.0,2.0,0.0,12648.0
99,33.0,0.0,0.0,19798.0
100,33.0,1.0,0.0,35798.0
101,33.0,2.0,0.0,12798.0
102,34.0,0.0,0.0,19779.0
103,34.0,1.0,0.0,35779.0
104,34.0,2.0,0.0,12779.0
105,35.0,0.0,0.0,19775.0
106,35.0,1.0,0.0,35775.0
107,35.0,2.0,0.0,12775.0
108,36.0,0.0,0.0,19633.0
109,36.0,1.0,0.0,35633.0
110,36.0,2.0,0.0,12633.0
111,37.0,0.0,0.0,19709.0
112,37.0,1.0,0.0,35709.0
113,37.0,2.0,0.0,12709.0
114,38.0,0.0,0.0,19860.0
115,38.0,1.0,0.0,35860.0
116,38.0,2.0,0.0,12860.0
117,39.0,0.0,0.0,19733.0
118,39.0,1.0,0.0,35733.0
119,39.0,2.0,0.0,12733.0
120,40.0,0.0,0.0,19759.0
121,40.0,1.0,0.0,35759.0
122,40.0,2.0,0.0,12759.0
123,41.0,0.0,0.0,19691.0
124,41.0,1.0,0.0,35691.0
125,41.0,2.0,0.0,12691.0
126,42.0,0.0,0.0,19844.0
127,42.0,1.0,0.0,35844.0
128,42.0,2.0,0.0,12844.0
129,43.0,0.0,0.0,19682.0
130,43.0,1.0,0.0,35682.0
131,43.0,2.0,0.0,12682.0
132,44.0,0.0,0.0,19745.0
133,44.0,1.0,0.0,35745.0
134,44.0,2.0,0.0,12745.0
135,45.0,0.0,0.0,19767.0
136,45.0,1.0,0.0,35767.0
137,45.0,2.0,0.0,12767.0
138,46.0,0.0,0.0,19816.0
139,46.0,1.0,0.0,35816.0
140,46.0,2.0,0.0,12816.0
141,47.0,0.0,0.0,19670.0
142,47.0,1.0,0.0,35670.0
143,47.0,2.0,0.0,12670.0
144,48.0,0.0,0.0,19781.0
145,48.0,1.0,0.0,35781.0
146,48.0,2.0,0.0,12781.0
147,49.0,0.0,0.0,19705.0
148,49.0,1.0,0.0,35705.0
149,49.0,2.0,0.0,12705.0
150,50.0,0.0,0.0,19728.0
151,50.0,1.0,0.0,35728.0
152,50.0,2.0,0.0,12728.0
153,51.0,0.0,0.0,19792.0
154,51.0,1.0,0.0,35792.0
155,51.0,2.0,0.0,12792.0
156,52.0,0.0,0.0,19901.0
157,52.0,1.0,0.0,35901.0
158,52.0,2.0,0.0,12901.0
159,53.0,0.0,0.0,19771.0
160,53.0,1.0,0.0,35771.0
161,53.0,2.0,0.0,12771.0
162,54.0,0.0,0.0,19759.0
163,54.0,1.0,0.0,35759.0
164,54.0,2.0,0.0,12759.0
165,55.0,0.0,0.0,19727.0
166,55.0,1.0,0.0,35727.0
167,55.0,2.0,0.0,12727.0
168,56.0,0.0,0.0,19730.0
169,56.0,1.0,0.0,35730.0
170,56.0,2.0,0.0,12730.0
171,57.0,0.0,0.0,19764.0
172,57.0,1.0,0.0,35764.0
173,57.0,2.0,0.0,12764.0
174,58.0,0.0,0.0,19738.0
175,58.0,1.0,0.0,35738.0
176,58.0,2.0,0.0,12738.0
177,59.0,0.0,0.0,19776.0
178,59.0,1.0,0.0,35776.0
179,59.0,2.0,0.0,12776.0
180,60.0,0.0,0.0,19890.0
181,60.0,1.0,0.0,35890.0
182,60.0,2.0,0.0,12890.0
183,61.0,0.0,0.0,19730.0
184,61.0,1.0,0.0,35730.0
185,61.0,2.0,0.0,12730.0
