,set_size,trial_num,method_num,space
0,100,0,0,3200
1,100,0,1,1700
2,100.0,0.0,2.0,1666.5
3,100.0,0.0,3.0,2579.0
4,100.0,0.0,4.0,2559.46875
5,100,1,0,3200
6,100,1,1,1700
7,100.0,1.0,2.0,1670.5
8,100.0,1.0,3.0,2583.0
9,100.0,1.0,4.0,2563.46875
10,100,2,0,3200
11,100,2,1,1600
12,100.0,2.0,2.0,1645.5
13,100.0,2.0,3.0,2558.0
14,100.0,2.0,4.0,2538.46875
15,100,3,0,3200
16,100,3,1,1900
17,100.0,3.0,2.0,1701.75
18,100.0,3.0,3.0,2620.5
19,100.0,3.0,4.0,2591.203125
20,100,4,0,3200
21,100,4,1,1600
22,100.0,4.0,2.0,1664.5
23,100.0,4.0,3.0,2577.0
24,100.0,4.0,4.0,2557.46875
25,100,5,0,3200
26,100,5,1,1800
27,100.0,5.0,2.0,1642.625
28,100.0,5.0,3.0,2558.25
29,100.0,5.0,4.0,2533.8359375
30,100,6,0,3200
31,100,6,1,1600
32,100.0,6.0,2.0,1642.5
33,100.0,6.0,3.0,2555.0
34,100.0,6.0,4.0,2535.46875
35,100,7,0,3200
36,100,7,1,1700
37,100.0,7.0,2.0,1660.625
38,100.0,7.0,3.0,2576.25
39,100.0,7.0,4.0,2551.8359375
40,100,8,0,3200
41,100,8,1,1800
42,100.0,8.0,2.0,1607.625
43,100.0,8.0,3.0,2523.25
44,100.0,8.0,4.0,2498.8359375
45,100,9,0,3200
46,100,9,1,1700
47,100.0,9.0,2.0,1627.375
48,100.0,9.0,3.0,2536.75
49,100.0,9.0,4.0,2522.1015625
50,100,10,0,3200
51,100,10,1,1700
52,100.0,10.0,2.0,1672.625
53,100.0,10.0,3.0,2588.25
54,100.0,10.0,4.0,2563.8359375
55,100,11,0,3200
56,100,11,1,1700
57,100.0,11.0,2.0,1691.625
58,100.0,11.0,3.0,2607.25
59,100.0,11.0,4.0,2582.8359375
60,100,12,0,3200
61,100,12,1,1700
62,100.0,12.0,2.0,1673.625
63,100.0,12.0,3.0,2589.25
64,100.0,12.0,4.0,2564.8359375
65,100,13,0,3200
66,100,13,1,1700
67,100.0,13.0,2.0,1635.625
68,100.0,13.0,3.0,2551.25
69,100.0,13.0,4.0,2526.8359375
70,100,14,0,3200
71,100,14,1,1300
72,100.0,14.0,2.0,1641.25
73,100.0,14.0,3.0,2547.5
74,100.0,14.0,4.0,2537.734375
75,100,15,0,3200
76,100,15,1,1400
77,100.0,15.0,2.0,1629.25
78,100.0,15.0,3.0,2535.5
79,100.0,15.0,4.0,2525.734375
80,100,16,0,3200
81,100,16,1,1700
82,100.0,16.0,2.0,1673.5
83,100.0,16.0,3.0,2586.0
84,100.0,16.0,4.0,2566.46875
85,100,17,0,3200
86,100,17,1,1800
87,100.0,17.0,2.0,1636.625
88,100.0,17.0,3.0,2552.25
89,100.0,17.0,4.0,2527.8359375
90,100,18,0,3200
91,100,18,1,1700
92,100.0,18.0,2.0,1618.5
93,100.0,18.0,3.0,2522.0
94,100.0,18.0,4.0,2502.46875
95,100,19,0,3200
96,100,19,1,1600
97,100.0,19.0,2.0,1626.5
98,100.0,19.0,3.0,2539.0
99,100.0,19.0,4.0,2519.46875
100,100,20,0,3200
101,100,20,1,1900
102,100.0,20.0,2.0,1678.75
103,100.0,20.0,3.0,2597.5
104,100.0,20.0,4.0,2568.203125
105,100,21,0,3200
106,100,21,1,1400
107,100.0,21.0,2.0,1600.25
108,100.0,21.0,3.0,2506.5
109,100.0,21.0,4.0,2496.734375
110,100,22,0,3200
111,100,22,1,1600
112,100.0,22.0,2.0,1672.5
113,100.0,22.0,3.0,2585.0
114,100.0,22.0,4.0,2565.46875
115,100,23,0,3200
116,100,23,1,1800
117,100.0,23.0,2.0,1703.625
118,100.0,23.0,3.0,2619.25
119,100.0,23.0,4.0,2594.8359375
120,100,24,0,3200
121,100,24,1,1400
122,100.0,24.0,2.0,1605.25
123,100.0,24.0,3.0,2511.5
124,100.0,24.0,4.0,2501.734375
125,100,25,0,3200
126,100,25,1,1600
127,100.0,25.0,2.0,1663.375
128,100.0,25.0,3.0,2572.75
129,100.0,25.0,4.0,2558.1015625
130,100,26,0,3200
131,100,26,1,1800
132,100.0,26.0,2.0,1658.75
133,100.0,26.0,3.0,2577.5
134,100.0,26.0,4.0,2548.203125
135,100,27,0,3200
136,100,27,1,1800
137,100.0,27.0,2.0,1743.75
138,100.0,27.0,3.0,2662.5
139,100.0,27.0,4.0,2633.203125
140,100,28,0,3200
141,100,28,1,1500
142,100.0,28.0,2.0,1639.5
143,100.0,28.0,3.0,2552.0
144,100.0,28.0,4.0,2532.46875
145,100,29,0,3200
146,100,29,1,1600
147,100.0,29.0,2.0,1604.375
148,100.0,29.0,3.0,2513.75
149,100.0,29.0,4.0,2499.1015625
150,100,30,0,3200
151,100,30,1,1800
152,100.0,30.0,2.0,1704.625
153,100.0,30.0,3.0,2620.25
154,100.0,30.0,4.0,2595.8359375
155,100,31,0,3200
156,100,31,1,1400
157,100.0,31.0,2.0,1634.25
158,100.0,31.0,3.0,2540.5
159,100.0,31.0,4.0,2530.734375
160,100,32,0,3200
161,100,32,1,1700
162,100.0,32.0,2.0,1670.625
163,100.0,32.0,3.0,2586.25
164,100.0,32.0,4.0,2561.8359375
165,100,33,0,3200
166,100,33,1,1800
167,100.0,33.0,2.0,1692.75
168,100.0,33.0,3.0,2611.5
169,100.0,33.0,4.0,2582.203125
170,100,34,0,3200
171,100,34,1,1800
172,100.0,34.0,2.0,1667.625
173,100.0,34.0,3.0,2574.25
174,100.0,34.0,4.0,2549.8359375
175,100,35,0,3200
176,100,35,1,1700
177,100.0,35.0,2.0,1650.5
178,100.0,35.0,3.0,2563.0
179,100.0,35.0,4.0,2543.46875
180,100,36,0,3200
181,100,36,1,1600
182,100.0,36.0,2.0,1678.5
183,100.0,36.0,3.0,2591.0
184,100.0,36.0,4.0,2571.46875
185,100,37,0,3200
186,100,37,1,1300
187,100.0,37.0,2.0,1631.25
188,100.0,37.0,3.0,2537.5
189,100.0,37.0,4.0,2527.734375
190,100,38,0,3200
191,100,38,1,1600
192,100.0,38.0,2.0,1639.375
193,100.0,38.0,3.0,2548.75
194,100.0,38.0,4.0,2534.1015625
195,100,39,0,3200
196,100,39,1,1800
197,100.0,39.0,2.0,1673.75
198,100.0,39.0,3.0,2592.5
199,100.0,39.0,4.0,2563.203125
200,100,40,0,3200
201,100,40,1,2100
202,100.0,40.0,2.0,1681.875
203,100.0,40.0,3.0,2594.75
204,100.0,40.0,4.0,2560.5703125
205,100,41,0,3200
206,100,41,1,1800
207,100.0,41.0,2.0,1706.625
208,100.0,41.0,3.0,2622.25
209,100.0,41.0,4.0,2597.8359375
210,100,42,0,3200
211,100,42,1,1800
212,100.0,42.0,2.0,1663.625
213,100.0,42.0,3.0,2579.25
214,100.0,42.0,4.0,2554.8359375
215,100,43,0,3200
216,100,43,1,1600
217,100.0,43.0,2.0,1622.375
218,100.0,43.0,3.0,2531.75
219,100.0,43.0,4.0,2517.1015625
220,100,44,0,3200
221,100,44,1,1800
222,100.0,44.0,2.0,1625.625
223,100.0,44.0,3.0,2541.25
224,100.0,44.0,4.0,2516.8359375
225,100,45,0,3200
226,100,45,1,1600
227,100.0,45.0,2.0,1654.375
228,100.0,45.0,3.0,2563.75
229,100.0,45.0,4.0,2549.1015625
230,100,46,0,3200
231,100,46,1,1700
232,100.0,46.0,2.0,1689.625
233,100.0,46.0,3.0,2605.25
234,100.0,46.0,4.0,2580.8359375
235,100,47,0,3200
236,100,47,1,1700
237,100.0,47.0,2.0,1656.625
238,100.0,47.0,3.0,2572.25
239,100.0,47.0,4.0,2547.8359375
240,100,48,0,3200
241,100,48,1,1800
242,100.0,48.0,2.0,1746.625
243,100.0,48.0,3.0,2662.25
244,100.0,48.0,4.0,2637.8359375
245,100,49,0,3200
246,100,49,1,1300
247,100.0,49.0,2.0,1598.25
248,100.0,49.0,3.0,2504.5
249,100.0,49.0,4.0,2494.734375
250,100,50,0,3200
251,100,50,1,1800
252,100.0,50.0,2.0,1675.625
253,100.0,50.0,3.0,2591.25
254,100.0,50.0,4.0,2566.8359375
255,100,51,0,3200
256,100,51,1,1600
257,100.0,51.0,2.0,1653.5
258,100.0,51.0,3.0,2566.0
259,100.0,51.0,4.0,2546.46875
260,100,52,0,3200
261,100,52,1,1700
262,100.0,52.0,2.0,1704.625
263,100.0,52.0,3.0,2620.25
264,100.0,52.0,4.0,2595.8359375
265,100,53,0,3200
266,100,53,1,1700
267,100.0,53.0,2.0,1659.625
268,100.0,53.0,3.0,2575.25
269,100.0,53.0,4.0,2550.8359375
270,100,54,0,3200
271,100,54,1,2000
272,100.0,54.0,2.0,1715.875
273,100.0,54.0,3.0,2637.75
274,100.0,54.0,4.0,2603.5703125
275,100,55,0,3200
276,100,55,1,1700
277,100.0,55.0,2.0,1656.625
278,100.0,55.0,3.0,2572.25
279,100.0,55.0,4.0,2547.8359375
280,100,56,0,3200
281,100,56,1,1900
282,100.0,56.0,2.0,1694.75
283,100.0,56.0,3.0,2613.5
284,100.0,56.0,4.0,2584.203125
285,100,57,0,3200
286,100,57,1,1600
287,100.0,57.0,2.0,1637.625
288,100.0,57.0,3.0,2544.25
289,100.0,57.0,4.0,2519.8359375
290,100,58,0,3200
291,100,58,1,1800
292,100.0,58.0,2.0,1669.625
293,100.0,58.0,3.0,2585.25
294,100.0,58.0,4.0,2560.8359375
295,100,59,0,3200
296,100,59,1,1700
297,100.0,59.0,2.0,1626.5
298,100.0,59.0,3.0,2539.0
299,100.0,59.0,4.0,2519.46875
300,100,60,0,3200
301,100,60,1,1700
302,100.0,60.0,2.0,1688.625
303,100.0,60.0,3.0,2604.25
304,100.0,60.0,4.0,2579.8359375
305,100,61,0,3200
306,100,61,1,1500
307,100.0,61.0,2.0,1631.375
308,100.0,61.0,3.0,2540.75
309,100.0,61.0,4.0,2526.1015625
310,100,62,0,3200
311,100,62,1,1600
312,100.0,62.0,2.0,1666.5
313,100.0,62.0,3.0,2579.0
314,100.0,62.0,4.0,2559.46875
315,100,63,0,3200
316,100,63,1,1700
317,100.0,63.0,2.0,1643.5
318,100.0,63.0,3.0,2556.0
319,100.0,63.0,4.0,2536.46875
320,100,64,0,3200
321,100,64,1,1600
322,100.0,64.0,2.0,1642.5
323,100.0,64.0,3.0,2555.0
324,100.0,64.0,4.0,2535.46875
325,100,65,0,3200
326,100,65,1,1800
327,100.0,65.0,2.0,1678.75
328,100.0,65.0,3.0,2597.5
329,100.0,65.0,4.0,2568.203125
330,100,66,0,3200
331,100,66,1,1500
332,100.0,66.0,2.0,1682.5
333,100.0,66.0,3.0,2595.0
334,100.0,66.0,4.0,2575.46875
335,100,67,0,3200
336,100,67,1,1600
337,100.0,67.0,2.0,1663.625
338,100.0,67.0,3.0,2579.25
339,100.0,67.0,4.0,2554.8359375
340,100,68,0,3200
341,100,68,1,1800
342,100.0,68.0,2.0,1616.5
343,100.0,68.0,3.0,2529.0
344,100.0,68.0,4.0,2509.46875
345,100,69,0,3200
346,100,69,1,2100
347,100.0,69.0,2.0,1725.875
348,100.0,69.0,3.0,2647.75
349,100.0,69.0,4.0,2613.5703125
350,100,70,0,3200
351,100,70,1,1800
352,100.0,70.0,2.0,1654.625
353,100.0,70.0,3.0,2570.25
354,100.0,70.0,4.0,2545.8359375
355,100,71,0,3200
356,100,71,1,2000
357,100.0,71.0,2.0,1714.875
358,100.0,71.0,3.0,2636.75
359,100.0,71.0,4.0,2602.5703125
360,100,72,0,3200
361,100,72,1,1800
362,100.0,72.0,2.0,1700.75
363,100.0,72.0,3.0,2619.5
364,100.0,72.0,4.0,2590.203125
365,100,73,0,3200
366,100,73,1,1700
367,100.0,73.0,2.0,1678.625
368,100.0,73.0,3.0,2594.25
369,100.0,73.0,4.0,2569.8359375
370,100,74,0,3200
371,100,74,1,1600
372,100.0,74.0,2.0,1623.5
373,100.0,74.0,3.0,2527.0
374,100.0,74.0,4.0,2507.46875
375,100,75,0,3200
376,100,75,1,1600
377,100.0,75.0,2.0,1645.375
378,100.0,75.0,3.0,2554.75
379,100.0,75.0,4.0,2540.1015625
380,100,76,0,3200
381,100,76,1,1700
382,100.0,76.0,2.0,1663.5
383,100.0,76.0,3.0,2576.0
384,100.0,76.0,4.0,2556.46875
385,100,77,0,3200
386,100,77,1,1600
387,100.0,77.0,2.0,1679.5
388,100.0,77.0,3.0,2592.0
389,100.0,77.0,4.0,2572.46875
390,100,78,0,3200
391,100,78,1,1700
392,100.0,78.0,2.0,1666.5
393,100.0,78.0,3.0,2579.0
394,100.0,78.0,4.0,2559.46875
395,100,79,0,3200
396,100,79,1,1600
397,100.0,79.0,2.0,1645.375
398,100.0,79.0,3.0,2554.75
399,100.0,79.0,4.0,2540.1015625
400,100,80,0,3200
401,100,80,1,1900
402,100.0,80.0,2.0,1661.75
403,100.0,80.0,3.0,2580.5
404,100.0,80.0,4.0,2551.203125
405,100,81,0,3200
406,100,81,1,1700
407,100.0,81.0,2.0,1694.625
408,100.0,81.0,3.0,2610.25
409,100.0,81.0,4.0,2585.8359375
410,100,82,0,3200
411,100,82,1,1800
412,100.0,82.0,2.0,1687.625
413,100.0,82.0,3.0,2603.25
414,100.0,82.0,4.0,2578.8359375
415,100,83,0,3200
416,100,83,1,1800
417,100.0,83.0,2.0,1668.625
418,100.0,83.0,3.0,2584.25
