,set_size,trial_num,method_num,space
0,100,0,0,3200
1,100,0,1,1800
2,100.0,0.0,2.0,1691.75
3,100.0,0.0,3.0,2610.5
4,100.0,0.0,4.0,2581.203125
5,100,1,0,3200
6,100,1,1,1500
7,100.0,1.0,2.0,1613.375
8,100.0,1.0,3.0,2522.75
9,100.0,1.0,4.0,2508.1015625
10,100,2,0,3200
11,100,2,1,1500
12,100.0,2.0,2.0,1630.375
13,100.0,2.0,3.0,2539.75
14,100.0,2.0,4.0,2525.1015625
15,100,3,0,3200
16,100,3,1,2000
17,100.0,3.0,2.0,1698.875
18,100.0,3.0,3.0,2620.75
19,100.0,3.0,4.0,2586.5703125
20,100,4,0,3200
21,100,4,1,1700
22,100.0,4.0,2.0,1680.5
23,100.0,4.0,3.0,2593.0
24,100.0,4.0,4.0,2573.46875
25,100,5,0,3200
26,100,5,1,1900
27,100.0,5.0,2.0,1671.75
28,100.0,5.0,3.0,2590.5
29,100.0,5.0,4.0,2561.203125
30,100,6,0,3200
31,100,6,1,1700
32,100.0,6.0,2.0,1653.5
33,100.0,6.0,3.0,2566.0
34,100.0,6.0,4.0,2546.46875
35,100,7,0,3200
36,100,7,1,1600
37,100.0,7.0,2.0,1675.5
38,100.0,7.0,3.0,2588.0
39,100.0,7.0,4.0,2568.46875
40,100,8,0,3200
41,100,8,1,1500
42,100.0,8.0,2.0,1676.375
43,100.0,8.0,3.0,2585.75
44,100.0,8.0,4.0,2571.1015625
45,100,9,0,3200
46,100,9,1,1400
47,100.0,9.0,2.0,1642.25
48,100.0,9.0,3.0,2548.5
49,100.0,9.0,4.0,2538.734375
50,100,10,0,3200
51,100,10,1,1500
52,100.0,10.0,2.0,1649.375
53,100.0,10.0,3.0,2558.75
54,100.0,10.0,4.0,2544.1015625
55,100,11,0,3200
56,100,11,1,1700
57,100.0,11.0,2.0,1667.5
58,100.0,11.0,3.0,2580.0
59,100.0,11.0,4.0,2560.46875
60,100,12,0,3200
61,100,12,1,1800
62,100.0,12.0,2.0,1640.625
63,100.0,12.0,3.0,2547.25
64,100.0,12.0,4.0,2522.8359375
65,100,13,0,3200
66,100,13,1,1800
67,100.0,13.0,2.0,1690.625
68,100.0,13.0,3.0,2606.25
69,100.0,13.0,4.0,2581.8359375
70,100,14,0,3200
71,100,14,1,1600
72,100.0,14.0,2.0,1684.5
73,100.0,14.0,3.0,2597.0
74,100.0,14.0,4.0,2577.46875
75,100,15,0,3200
76,100,15,1,2000
77,100.0,15.0,2.0,1697.875
78,100.0,15.0,3.0,2619.75
79,100.0,15.0,4.0,2585.5703125
80,100,16,0,3200
81,100,16,1,1500
82,100.0,16.0,2.0,1651.375
83,100.0,16.0,3.0,2560.75
84,100.0,16.0,4.0,2546.1015625
85,100,17,0,3200
86,100,17,1,1700
87,100.0,17.0,2.0,1675.625
88,100.0,17.0,3.0,2591.25
89,100.0,17.0,4.0,2566.8359375
90,100,18,0,3200
91,100,18,1,1800
92,100.0,18.0,2.0,1630.625
93,100.0,18.0,3.0,2546.25
94,100.0,18.0,4.0,2521.8359375
95,100,19,0,3200
96,100,19,1,1700
97,100.0,19.0,2.0,1634.625
98,100.0,19.0,3.0,2550.25
99,100.0,19.0,4.0,2525.8359375
100,100,20,0,3200
101,100,20,1,1900
102,100.0,20.0,2.0,1708.75
103,100.0,20.0,3.0,2627.5
104,100.0,20.0,4.0,2598.203125
105,100,21,0,3200
106,100,21,1,1700
107,100.0,21.0,2.0,1644.625
108,100.0,21.0,3.0,2560.25
109,100.0,21.0,4.0,2535.8359375
110,100,22,0,3200
111,100,22,1,1800
112,100.0,22.0,2.0,1700.625
113,100.0,22.0,3.0,2616.25
114,100.0,22.0,4.0,2591.8359375
115,100,23,0,3200
116,100,23,1,1700
117,100.0,23.0,2.0,1670.625
118,100.0,23.0,3.0,2586.25
119,100.0,23.0,4.0,2561.8359375
120,100,24,0,3200
121,100,24,1,1800
122,100.0,24.0,2.0,1636.625
123,100.0,24.0,3.0,2552.25
124,100.0,24.0,4.0,2527.8359375
125,100,25,0,3200
126,100,25,1,1500
127,100.0,25.0,2.0,1672.375
128,100.0,25.0,3.0,2581.75
129,100.0,25.0,4.0,2567.1015625
130,100,26,0,3200
131,100,26,1,1800
132,100.0,26.0,2.0,1689.625
133,100.0,26.0,3.0,2605.25
134,100.0,26.0,4.0,2580.8359375
135,100,27,0,3200
136,100,27,1,1800
137,100.0,27.0,2.0,1699.75
138,100.0,27.0,3.0,2618.5
139,100.0,27.0,4.0,2589.203125
140,100,28,0,3200
141,100,28,1,1800
142,100.0,28.0,2.0,1668.625
143,100.0,28.0,3.0,2584.25
144,100.0,28.0,4.0,2559.8359375
145,100,29,0,3200
146,100,29,1,1700
147,100.0,29.0,2.0,1725.75
148,100.0,29.0,3.0,2644.5
149,100.0,29.0,4.0,2615.203125
150,100,30,0,3200
151,100,30,1,1500
152,100.0,30.0,2.0,1636.375
153,100.0,30.0,3.0,2545.75
154,100.0,30.0,4.0,2531.1015625
155,100,31,0,3200
156,100,31,1,1900
157,100.0,31.0,2.0,1672.75
158,100.0,31.0,3.0,2591.5
159,100.0,31.0,4.0,2562.203125
160,100,32,0,3200
161,100,32,1,1700
162,100.0,32.0,2.0,1625.625
163,100.0,32.0,3.0,2541.25
164,100.0,32.0,4.0,2516.8359375
165,100,33,0,3200
166,100,33,1,1900
167,100.0,33.0,2.0,1717.875
168,100.0,33.0,3.0,2639.75
169,100.0,33.0,4.0,2605.5703125
170,100,34,0,3200
171,100,34,1,1400
172,100.0,34.0,2.0,1650.25
173,100.0,34.0,3.0,2556.5
174,100.0,34.0,4.0,2546.734375
175,100,35,0,3200
176,100,35,1,1700
177,100.0,35.0,2.0,1680.75
178,100.0,35.0,3.0,2599.5
179,100.0,35.0,4.0,2570.203125
180,100,36,0,3200
181,100,36,1,1600
182,100.0,36.0,2.0,1675.5
183,100.0,36.0,3.0,2579.0
184,100.0,36.0,4.0,2559.46875
185,100,37,0,3200
186,100,37,1,1300
187,100.0,37.0,2.0,1642.25
188,100.0,37.0,3.0,2548.5
189,100.0,37.0,4.0,2538.734375
190,100,38,0,3200
191,100,38,1,1600
192,100.0,38.0,2.0,1659.375
193,100.0,38.0,3.0,2568.75
194,100.0,38.0,4.0,2554.1015625
195,100,39,0,3200
196,100,39,1,1600
197,100.0,39.0,2.0,1619.5
198,100.0,39.0,3.0,2532.0
199,100.0,39.0,4.0,2512.46875
200,100,40,0,3200
201,100,40,1,1700
202,100.0,40.0,2.0,1627.5
203,100.0,40.0,3.0,2540.0
204,100.0,40.0,4.0,2520.46875
205,100,41,0,3200
206,100,41,1,1600
207,100.0,41.0,2.0,1643.375
208,100.0,41.0,3.0,2552.75
209,100.0,41.0,4.0,2538.1015625
210,100,42,0,3200
211,100,42,1,1700
212,100.0,42.0,2.0,1630.5
213,100.0,42.0,3.0,2543.0
214,100.0,42.0,4.0,2523.46875
215,100,43,0,3200
216,100,43,1,1700
217,100.0,43.0,2.0,1686.5
218,100.0,43.0,3.0,2599.0
219,100.0,43.0,4.0,2579.46875
220,100,44,0,3200
221,100,44,1,1400
222,100.0,44.0,2.0,1636.25
223,100.0,44.0,3.0,2542.5
224,100.0,44.0,4.0,2532.734375
225,100,45,0,3200
226,100,45,1,1400
227,100.0,45.0,2.0,1657.375
